time,lat,lon,depth,cruise,station,cast,C14_assimilation_nano_mean,C14_assimilation_nano_stdev,filter_min,bottle,CMAP_sea_water_temp_WOA_clim_tblWOA_Climatology,CMAP_density_WOA_clim_tblWOA_Climatology,CMAP_salinity_WOA_clim_tblWOA_Climatology,CMAP_nitrate_WOA_clim_tblWOA_Climatology,CMAP_phosphate_WOA_clim_tblWOA_Climatology,CMAP_silicate_WOA_clim_tblWOA_Climatology,CMAP_oxygen_WOA_clim_tblWOA_Climatology,CMAP_NO3_tblPisces_NRT,CMAP_PO4_tblPisces_NRT,CMAP_O2_tblPisces_NRT,CMAP_Si_tblPisces_NRT,CMAP_PP_tblPisces_NRT,CMAP_CHL_tblPisces_NRT,CMAP_PHYC_tblPisces_NRT
2012-03-07T12:00:00,22.75,158,100,250,2,2,0.0129496750198824,0.0040764297717221,3,"""8,9,10""",22.6903612613678,24.716423749923703,35.13061714172363,0.1066123710479587,0.1029539750888943,1.9621686935424805,4.762354612350464,,,,,,,
2012-03-07T12:00:00,22.75,158,125,250,2,2,0.0034694216825912,0.001388763396684,3,"""5,6,7""",21.61002492904663,25.108999252319336,35.068328857421875,0.6932287365198135,0.1662111245095729,2.8389979004859924,4.635516047477722,,,,,,,
2012-04-06T12:00:00,22.75,158,5,251,2,1,0.0519254581046545,0.0050910811960636,3,"""21,22,23""",24.90570592880249,23.28218285242717,35.08220100402832,0.229195274412632,0.1240728441625833,7.946786999702454,4.834110180536906,5.65567725215e-05,0.1749841254204166,219.2381550471042,6.321683943268959,0.0006233581613438,0.0380609182951395,0.5395627965528541
2012-04-06T12:00:00,22.75,158,25,251,2,1,0.0796177620631969,0.0042409905506288,3,"""17,18,19""",24.49159638086955,23.47887961069743,35.07328255971273,0.1099516072620948,0.111481404552857,6.379381537437439,4.867299159367879,9.49558789152e-05,0.1748337025442777,219.7674128213889,6.311576366424444,0.0005375287275653,0.0413941389156666,0.5382837603488889
2012-04-06T12:00:00,22.75,158,45,251,2,1,0.0446947188454123,0.0139574232617248,3,"""14,15,16""",23.925275961558025,23.78834613164266,35.10794544219971,0.0138196845388544,0.075192818728586,5.12958550453186,4.912206212679545,0.0005130174394597,0.1741662546991667,220.69843800866667,6.319244662920833,0.0005792291437198,0.0509004294872583,0.5530971263845833
2012-04-06T12:00:00,22.75,158,75,251,2,1,0.0500734931315647,0.0032088165195542,3,"""11,12,13""",23.02549473444621,24.24262968699137,35.128652254740395,0.0257435772606792,0.0547199643527468,6.9798232316970825,4.898874878883362,0.0312435568175401,0.1697106684246666,228.47567494683332,6.409338235855,0.0017038124933611,0.1292769536376166,0.7595510284114999
2012-04-06T12:00:00,22.75,158,100,251,2,1,0.0059728370611213,0.0007115904355761,3,"""8,9,10""",22.273235082626343,24.56357288360596,35.12171411514282,0.096837502438575,0.0546198906376957,6.7344029545784,4.886703431606293,,,,,,,
2012-04-06T12:00:00,22.75,158,125,251,2,1,0.0044145651697109,0.0013367363221204,3,"""5,6,7""",21.1920223236084,24.957868576049805,35.05572509765625,0.1409944090992212,0.0644573736935854,7.233891725540161,4.821427583694458,,,,,,,
2012-05-18T12:00:00,22.75,158,5,252,2,2,0.1033794631379049,0.0330507028437527,3,"""22,23,24""",26.343444029490158,23.05984401702881,35.09527333577474,0.1702617357174555,0.1292765842129787,0.981614554921786,4.698697209358215,3.567055557596042e-07,0.1736979552855,214.3784615197917,6.467112571002917,0.000793483692784,0.0323744614142895,0.6151230136553544
2012-05-18T12:00:00,22.75,158,25,252,2,2,0.091555542882446,0.0052446672521909,3,"""18,19,20""",25.668716589609783,23.41070286432902,35.122045834859215,0.1813827914496263,0.132218632226189,0.745832122862339,4.775883515675862,6.864586844636111e-07,0.1716227721837222,219.18394385438887,6.545811255772222,0.0004627192732488,0.0338774420734888,0.5527189307742778
