time,lat,lon,depth,cruise,stime,etime,itype,chl,phaeo,l12,d12,bsal,pbact,hbact,sbact,ebact,CMAP_sea_water_temp_WOA_clim_tblWOA_Climatology,CMAP_density_WOA_clim_tblWOA_Climatology,CMAP_salinity_WOA_clim_tblWOA_Climatology,CMAP_nitrate_WOA_clim_tblWOA_Climatology,CMAP_phosphate_WOA_clim_tblWOA_Climatology,CMAP_silicate_WOA_clim_tblWOA_Climatology,CMAP_oxygen_WOA_clim_tblWOA_Climatology,CMAP_NO3_tblPisces_NRT,CMAP_PO4_tblPisces_NRT,CMAP_O2_tblPisces_NRT,CMAP_Si_tblPisces_NRT,CMAP_PP_tblPisces_NRT,CMAP_CHL_tblPisces_NRT,CMAP_PHYC_tblPisces_NRT
2015-08-12T00:00:00,22.75,-158,75,HOT275,405.0,1917.0,2,0.171,0.167,5.06,,35.337,209293.0,367439.0,1605.0,1138.0,23.77876377105713,24.189818541208904,35.157459576924644,0.0490746373931566,0.1434037076930205,1.7771585583686829,5.060176412264506,6.0730465255e-06,0.28849007437625,229.0547091165,8.612417221069165,0.000248647621144,0.0498030846938583,0.4794188961385834
2015-08-12T00:00:00,22.75,-158,100,HOT275,405.0,1917.0,2,0.222,0.401,3.337,,35.0457,60644.0,306560.0,0.0,3361.0,22.52669906616211,24.639296293258667,35.18959999084473,0.0927013319451361,0.1451866133138537,1.8424338698387144,4.935833632946014,,,,,,,
2015-08-12T00:00:00,22.75,-158,125,HOT275,405.0,1917.0,2,0.116,0.401,0.69,,34.973,45077.0,255151.0,0.0,2681.0,21.3562970161438,25.08506488800049,35.21132278442383,0.6007831022143364,0.1807673536241054,2.2085327804088597,4.752005219459534,,,,,,,
2015-08-12T00:00:00,22.75,-158,150,HOT275,405.0,1917.0,2,0.051,0.158,,,34.7294,10734.0,191282.0,0.0,1276.0,20.31237030029297,25.428969383239743,35.15760517120361,1.5506066381931305,0.204222422093153,2.644791394472122,4.630868554115295,,,,,,,
2015-08-12T00:00:00,22.75,-158,175,HOT275,405.0,1917.0,2,0.022,0.043,,,34.5836,1363.0,173017.0,0.0,386.0,19.194122791290283,25.760279178619385,35.044586181640625,2.563332736492157,0.2504785805940628,3.239043176174164,4.539256930351257,,,,,,,
2015-10-13T00:00:00,22.75,-158,5,HOT277,410.0,1915.0,2,0.109,0.064,8.133,,35.2974,280720.0,451648.0,966.0,813.0,26.281839847564697,23.159508228302,35.13985188802084,0.0132390271949892,0.1665947884321212,1.379975030819575,4.717237830162048,6.487067333675103e-07,0.3102017672112291,214.36709928516663,9.266709347565518,0.0006298319658526,0.0356461226086458,0.5548331141471249
2015-10-13T00:00:00,22.75,-158,25,HOT277,410.0,1915.0,2,0.105,0.073,8.38,,35.3082,284062.0,519748.0,1116.0,964.0,26.21295181910197,23.26718791325887,35.14287090301514,0.0145451219286769,0.1557840468982855,1.2932563920815785,4.719782153765361,8.1101558969775e-07,0.3097765901022777,214.71018388541668,9.262236409716111,0.0004851938113764,0.0365606417051694,0.5442769908242778
2015-10-13T00:00:00,22.75,-158,45,HOT277,410.0,1915.0,2,0.144,0.097,8.333,,35.3106,296215.0,402028.0,939.0,858.0,26.04559087753296,23.41030518213908,35.158985455830894,0.0102505994727835,0.1450698208063841,1.3074426651000977,4.780647118886312,1.3760658958e-06,0.3051285445690416,217.0096658070833,9.229454159737084,0.0003866130573442,0.0398517115972874,0.5139440397420834
2015-10-13T00:00:00,22.75,-158,75,HOT277,410.0,1915.0,2,0.21,0.152,4.2,,35.3202,252303.0,411994.0,1739.0,1068.0,24.414840698242188,24.063517570495605,35.17313861846924,0.0149708255582178,0.1551124341785907,1.499877413113912,4.956390659014384,2.32263632256e-05,0.2718504394095833,234.378314972,8.878786404927501,0.000265656080349,0.0523094451055,0.4734613373875
2015-10-13T00:00:00,22.75,-158,100,HOT277,410.0,1915.0,2,0.237,0.325,1.563,,35.2976,137536.0,415762.0,751.0,1594.0,22.714540004730225,24.622942447662357,35.205419063568115,0.0356290836352855,0.1504066372290253,1.770378291606903,4.893309116363525,,,,,,,
