time,lat,lon,depth,time_out,Lat_out,Long_out,pres,temp,salt,lt1,lt2,lt3,dark,t0,pp,Cruise_ID,niskin_flag,UNOLS,CMAP_sea_water_temp_WOA_clim_tblWOA_Climatology,CMAP_density_WOA_clim_tblWOA_Climatology,CMAP_salinity_WOA_clim_tblWOA_Climatology,CMAP_nitrate_WOA_clim_tblWOA_Climatology,CMAP_phosphate_WOA_clim_tblWOA_Climatology,CMAP_silicate_WOA_clim_tblWOA_Climatology,CMAP_oxygen_WOA_clim_tblWOA_Climatology,CMAP_NO3_tblPisces_NRT,CMAP_PO4_tblPisces_NRT,CMAP_O2_tblPisces_NRT,CMAP_Si_tblPisces_NRT,CMAP_PP_tblPisces_NRT,CMAP_CHL_tblPisces_NRT,CMAP_PHYC_tblPisces_NRT
1995-12-15T00:00:00,31.666,-64.164,60.0,1995-12-15T00:00,,,,,36.593,2.49,2.28,2.57,0.39,0.4,2.06,1008708104,2,,22.11683781941732,25.62918535868327,36.57523091634115,0.1636747345328331,0.0509881687661012,0.7810878753662109,4.90949026743571,1.1242381816124638,0.1114546762158386,221.45505153771967,2.784265648234394,0.0016412115942465,0.2816477136291211,1.2905203961969396
1995-12-15T00:00:00,31.666,-64.164,80.0,1995-12-15T00:00,,,,,36.627,1.99,1.78,1.59,0.26,0.4,1.53,1008708105,2,,21.823816617329918,25.849562962849934,36.59436543782552,0.2233985364437103,0.0521685425192117,0.8295749127864838,4.903200785319011,1.6552063812025286,0.1480458317691826,219.482616424553,2.934357634096288,0.0006068958935043,0.2443620134145454,1.0405191174057804
1995-12-15T00:00:00,31.666,-64.164,100.0,1995-12-15T00:00,,,,,36.627,0.58,0.64,0.57,0.23,0.3,0.37,1008708106,2,,21.128872394561768,26.13239622116089,36.60048866271973,0.3748869076371193,0.0432451609522104,0.8413418829441071,4.867506742477417,,,,,,,
1995-12-15T00:00:00,31.666,-64.164,120.0,1995-12-15T00:00,,,,,36.629,0.52,0.46,0.41,0.17,0.35,0.29,1008708107,2,,19.925600051879883,26.580183029174805,36.604543685913086,0.7885395586490631,0.0375857837498188,0.9411596655845642,4.726716041564941,,,,,,,
1995-12-15T00:00:00,31.666,-64.164,140.0,1995-12-15T00:00,,,,,36.635,0.3,0.25,0.32,0.26,0.35,0.03,1008708108,2,,,,,,,,,,,,,,,
1996-01-30T00:00:00,31.67,-64.164,1.0,1996-01-30T00:00,,,,,36.656,11.44,12.27,11.12,0.41,0.36,11.2,1008808101,2,,20.65694761276245,25.811145782470703,36.62674427032471,0.2595684491097927,0.0466950219124555,0.8676171898841858,5.135371685028076,1.9217814139147185,0.1601909583325194,226.04586513744852,2.944397909852324,0.024734217869392,0.3753192768815911,2.128577753901557
1996-01-30T00:00:00,31.67,-64.164,20.0,1996-01-30T00:00,,,,,36.654,13.9,12.98,13.36,0.35,0.2,13.06,1008808102,2,,20.63143825531006,25.905066172281902,36.61996078491211,0.1942458649476369,0.0464945634206136,0.9129154086112976,5.073924859364827,1.9431248416794284,0.1626465733108161,225.55431848415935,2.950222410407793,0.013124013557008,0.3664711523143579,1.9457723136038976
1996-01-30T00:00:00,31.67,-64.164,40.0,1996-01-30T00:00,,,,,36.654,6.76,6.59,6.81,0.28,0.23,6.44,1008808103,2,,20.587435086568195,26.010188738505047,36.61811319986979,0.2072498177488645,0.0484568135191996,0.9308016896247864,5.075369596481323,1.9960823135781172,0.1684436001266963,224.61468382440435,2.965716311160001,0.0038140742673183,0.3248129590031103,1.5839292249255883
1996-01-30T00:00:00,31.67,-64.164,60.0,1996-01-30T00:00,,,,,36.656,2.47,2.46,2.46,0.29,0.23,2.17,1008808104,2,,20.525116602579757,26.11233075459798,36.617644627889,0.248891624311606,0.0512183705965677,0.9337937434514364,5.071389436721802,2.049649967428294,0.1735731614753683,223.81959724425,2.982056056751912,0.0015429882093004,0.2889342759462353,1.359244296217757
1996-01-30T00:00:00,31.67,-64.164,80.0,1996-01-30T00:00,,,,,36.656,0.97,1.01,0.98,0.24,0.21,0.74,1008808105,2,,20.45873514811198,26.214832305908203,36.6121629079183,0.3293634007374446,0.0511438256750504,0.9037960569063822,5.037097136179606,2.2090361889674632,0.186051438672153,222.19547013675003,3.029329038718236,0.0004432758708871,0.2390983910026176,1.083588074235272
