time,lat,lon,depth,event,eddy,sample,C14_assimilation
2017-07-15T06:56:00,26.4933,-158.44223300000002,120,L2-TMCTD,Anticyclone -1,Control C,0.1559715163159488
2017-07-15T06:56:00,26.4933,-158.44223300000002,120,L2-TMCTD,Anticyclone -1,Fe' A,0.1444695720409445
2017-07-15T06:56:00,26.4933,-158.44223300000002,120,L2-TMCTD,Anticyclone -1,Fe' B,0.1308507338516608
2017-07-15T06:56:00,26.4933,-158.44223300000002,120,L2-TMCTD,Anticyclone -1,Fe' C,0.1965196490966648
2017-07-15T06:56:00,26.4933,-158.44223300000002,120,L2-TMCTD,Anticyclone -1,Fe Amphibactins A,0.1906360574387291
2017-07-15T06:56:00,26.4933,-158.44223300000002,120,L2-TMCTD,Anticyclone -1,Fe Amphibactins B,0.1149306025179596
2017-07-15T06:56:00,26.4933,-158.44223300000002,120,L2-TMCTD,Anticyclone -1,Fe Amphibactins C,0.202713458510881
2017-07-15T06:56:00,26.4933,-158.44223300000002,120,L2-TMCTD,Anticyclone -1,Ga Amphibactins A,0.2911815164790063
2017-07-15T06:56:00,26.4933,-158.44223300000002,120,L2-TMCTD,Anticyclone -1,Ga Amphibactins B,0.3134106034608776
2017-07-15T06:56:00,26.4933,-158.44223300000002,120,L2-TMCTD,Anticyclone -1,Ga Amphibactins C,0.3188203461615687
2017-07-15T06:56:00,26.4933,-158.44223300000002,120,L2-TMCTD,Anticyclone -1,DFB A,0.1985656956081882
2017-07-15T06:56:00,26.4933,-158.44223300000002,120,L2-TMCTD,Anticyclone -1,DFB B,0.1457887606202984
2017-07-15T06:56:00,26.4933,-158.44223300000002,120,L2-TMCTD,Anticyclone -1,DFB C,0.21255368052766
2017-07-15T06:56:00,26.4933,-158.44223300000002,140,L2-TMCTD,Anticyclone -1,Control A,0.0706524561622518
2017-07-15T06:56:00,26.4933,-158.44223300000002,140,L2-TMCTD,Anticyclone -1,Control B,0.0507910357491813
2017-07-15T06:56:00,26.4933,-158.44223300000002,140,L2-TMCTD,Anticyclone -1,Control C,0.0741730799971841
2017-07-15T06:56:00,26.4933,-158.44223300000002,140,L2-TMCTD,Anticyclone -1,Fe' A,0.0680627878506228
2017-07-15T06:56:00,26.4933,-158.44223300000002,140,L2-TMCTD,Anticyclone -1,Fe' B,0.0652485348213421
2017-07-15T06:56:00,26.4933,-158.44223300000002,140,L2-TMCTD,Anticyclone -1,Fe' C,0.0454659946409991
2017-07-15T06:56:00,26.4933,-158.44223300000002,140,L2-TMCTD,Anticyclone -1,Fe Amphibactins A,0.0923161150698552
2017-07-15T06:56:00,26.4933,-158.44223300000002,140,L2-TMCTD,Anticyclone -1,Fe Amphibactins B,0.0479931972669776
2017-07-15T06:56:00,26.4933,-158.44223300000002,140,L2-TMCTD,Anticyclone -1,Fe Amphibactins C,0.0595503885791752
2017-07-15T06:56:00,26.4933,-158.44223300000002,300,L2-TMCTD,Anticyclone -1,Control A,0.0007951345171023
2017-07-15T06:56:00,26.4933,-158.44223300000002,300,L2-TMCTD,Anticyclone -1,Control B,0.0006221866919173
2017-07-15T06:56:00,26.4933,-158.44223300000002,300,L2-TMCTD,Anticyclone -1,Control C,0.001
2017-07-15T06:56:00,26.4933,-158.44223300000002,300,L2-TMCTD,Anticyclone -1,Fe' A,0.0018590853640466
2017-07-15T06:56:00,26.4933,-158.44223300000002,300,L2-TMCTD,Anticyclone -1,Fe' B,0.0007085858979789
2017-07-15T06:56:00,26.4933,-158.44223300000002,300,L2-TMCTD,Anticyclone -1,Fe' C,0.0009335864177689
2017-07-15T06:56:00,26.4933,-158.44223300000002,300,L2-TMCTD,Anticyclone -1,Fe Amphibactins A,0.0392023121060545
2017-07-15T06:56:00,26.4933,-158.44223300000002,300,L2-TMCTD,Anticyclone -1,Fe Amphibactins B,0.0360140645604397
2017-07-15T06:56:00,26.4933,-158.44223300000002,300,L2-TMCTD,Anticyclone -1,Fe Amphibactins C,0.0399403188279094
2017-07-15T06:56:00,26.4933,-158.44223300000002,300,L2-TMCTD,Anticyclone -1,Ga Amphibactins A,0.0133083698871925
2017-07-15T06:56:00,26.4933,-158.44223300000002,300,L2-TMCTD,Anticyclone -1,Ga Amphibactins B,0.0177999219439822
2017-07-15T06:56:00,26.4933,-158.44223300000002,300,L2-TMCTD,Anticyclone -1,Ga Amphibactins C,0.013971937016017
2017-07-15T06:56:00,26.4933,-158.44223300000002,300,L2-TMCTD,Anticyclone -1,DFB A,0.0116207745040737
2017-07-15T06:56:00,26.4933,-158.44223300000002,300,L2-TMCTD,Anticyclone -1,DFB B,0.017056203176429
2017-07-15T06:56:00,26.4933,-158.44223300000002,300,L2-TMCTD,Anticyclone -1,DFB C,0.0137715653106937
